Event Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
October ,10/03/2023,16:00:00,10/03/2023,18:50:00,North Carolina: South Carolina:,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,Unknown,Unknown
October,10/03/2023,23:44:00,10/04/2023,00:21:00,Pennsylvania:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,- Unknown,0,0
October,10/04/2023,22:01:00,10/06/2023,04:15:00,Texas:,RE,"Loss of electric service to more than 50,000 customers for 1 hour or more",- Weather or natural disaster,Unknown,153000
October,10/05/2023,18:38:00,10/05/2023,19:02:00,"Texas: New Mexico: Lea County, Eddy County;","RE,WECC","Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Other,0,0
October,10/06/2023,02:42:00,10/06/2023,03:13:00,Texas: Cameron County;,RE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,0,0
October,10/07/2023,08:04:00,10/08/2023,02:32:00,New Jersey:,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Suspicious activity,0,0
October,10/07/2023,14:04:00,Unknown ,Unknown ,California: Contra Costa County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Theft,0,0
October,10/07/2023,08:49:00,10/08/2023,02:32:00,New Jersey: Essex County;,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Suspicious activity,Unknown,Unknown
October,10/12/2023,14:37:00,10/12/2023,15:37:00,Pennsylvania: Armstrong County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,Unknown,Unknown
October,10/12/2023,12:18:00,10/12/2023,12:19:00,Texas: Travis County;,RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Physical attack - Other,0,0
October,10/12/2023,14:37:00,10/12/2023,15:37:00,Pennsylvania: Armstrong County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,Unknown,Unknown
October,10/14/2023,07:10:00,Unknown ,Unknown ,California: Alameda County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Unknown - Vandalism,Unknown,Unknown
October,10/14/2023,12:47:00,10/16/2023,09:43:00,"North Dakota: Mountrail County, Williams County;",MRO,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Theft,0,0
October,10/15/2023,07:16:00,10/15/2023,12:52:00,California: Sacramento County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Other,72,6
October,10/18/2023,10:38:00,10/19/2023,18:00:00,Florida: Hillsborough County;,SERC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,- Unknown,0,0
October,10/19/2023,10:30:00,10/19/2023,10:52:00,Texas: Lamb County; New Mexico:,RE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Other,0,0
October,10/19/2023,11:10:00,Unknown ,Unknown ,Minnesota: Goodhue County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Unknown,0,0
October,10/19/2023,09:40:00,10/19/2023,09:45:00,Pennsylvania: Greene County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,0,0
October,10/21/2023,08:04:00,10/21/2023,08:05:00,California: San Joaquin County;,RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,0,0
October,10/22/2023,02:10:00,10/23/2023,17:00:00,Texas: Jasper County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Physical attack - Vandalism - Theft - Suspicious activity,0,0
October,10/25/2023,23:39:00,10/29/2023,19:11:00,Oklahoma: Texas County;,RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Physical attack - Generator loss or failure,0,0
October,10/26/2023,11:21:00,10/26/2023,11:22:00,Texas: Orange County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Transmission equipment failure,Unknown,26
October,10/26/2023,10:05:00,10/26/2023,10:20:00,Illinois: Cook County;,RE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,0,0
October,10/26/2023,12:41:00,10/26/2023,14:01:00,Oregon: Jefferson County;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Other,140,0
October,10/26/2023,10:05:00,10/26/2023,10:20:00,Illinois: Cook County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,0,0
October,10/29/2023,04:00:00,10/30/2023,16:00:00,Nevada:,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,0,0
November,2023-11-01 00:00:00,14:37:00,Unknown,Unknown,Texas: Cameron County;,RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Physical attack,0,0
November,11/02/2023,20:00:00,11/02/2023,20:06:00,South Carolina: Oconee County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,0,0
November,11/02/2023,11:10:00,11/02/2023,11:20:00,Oregon: Washington: Idaho: Bannock County; Utah: Wyoming:,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,- Theft,0,0
November,11/06/2023,16:00:00,11/06/2023,17:00:00,Arkansas:,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Suspicious activity,0,0
November,11/09/2023,13:35:00,2023-11-09 00:00:00,14:35:00,Oklahoma: Louisiana: Texas:,MRO/SERC/RE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,- Other,0,0
November,11/09/2023,03:00:00,11/09/2023,03:15:00,California: Fresno County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,- Vandalism - Theft,0,0
November,11/10/2023,18:10:00,11/10/2023,19:58:00,Maryland: Baltimore County;,RF,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,- Suspicious activity,0,0
November,11/10/2023,18:10:00,11/10/2023,19:58:00,Pennsylvania: Montgomery County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,0,0
November,11/10/2023,08:00:00,11/10/2023,08:01:00,Nevada:,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Vandalism - Theft - Suspicious activity,0,0
November,11/11/2023,00:45:00,11/11/2023,01:11:00,Utah: Salt Lake County; California: Oregon:,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,- Vandalism,0,0
November,11/12/2023,06:45:00,11/12/2023,08:59:00,Washington: King County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Other,0,0
November,11/13/2023,16:16:00,11/13/2023,16:36:00,North Dakota: Burleigh County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Other,0,0
November,11/15/2023,20:00:00,11/16/2023,20:30:00,California: Imperial County;,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability,- Fuel supply emergency,0,0
November,11/16/2023,03:18:00,Unknown,Unknown,"Florida: Miami-Dade County, Broward County;",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",- Weather or natural disaster,0,0
November,11/17/2023,01:43:00,11/17/2023,03:33:00,California: Contra Costa County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Other,0,0
November,11/17/2023,16:30:00,2023-11-17 00:00:00,16:41,Texas: Cameron County;,RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Unknown,0,0
November,11/17/2023,04:07:00,11/17/2023,04:21:00,Colorado: Douglas County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Other,0,0
November,11/19/2023,04:39:00,Unknown,Unknown,California: San Joaquin County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,0,0
November,11/19/2023,14:00:00,11/19/2023,14:10:00,Illinois: Grundy County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,0,0
November,11/19/2023,03:00:00,11/19/2023,03:30:00,New Jersey: Gloucester County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Theft,0,0
November,11/20/2023,00:00:00,2023-11-20 00:00:00,02:00:00,Nevada:,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Theft - Suspicious activity,0,0
November,11/21/2023,09:29:00,11/21/2023,09:30:00,California: San Joaquin County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Theft,0,0
November,11/25/2023,10:20:00,Unknown,Unknown,California: San Bernardino County;,WECC,Cyber event that is not a Reportable Cyber Security Incident that causes interruptions of electrical system operations.,- Unknown,0,0
November,11/26/2023,01:00:00,11/26/2023,02:00:00,California: Sutter County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Theft - Other,0,0
November,11/27/2023,06:00:00,11/27/2023,13:00:00,Connecticut: Massachusetts: Maine: Rhode Island: Vermont: New Hampshire:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",- Weather or natural disaster,0,0
November,11/27/2023,11:53:00,11/27/2023,13:53:00,Colorado:,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Other,0,0
November,11/29/2023,09:00:00,Unknown,Unknown,Texas: Callahan County;,RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Physical attack - Vandalism - Suspicious activity,0,0
December,2023-12-01 00:00:00,10:28:00,2023-12-01 00:00:00,10:29:00,Pacificorp,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Theft,0,0
December,2023-12-02 00:00:00,10:07:00,2023-12-02 00:00:00,10:40:00,Tampa Electric Company,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,- Other,0,0
December,2023-12-03 00:00:00,04:27:00,- Unknown,- Unknown,Pacific Gas & Electric Co,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Theft,0,0
December,2023-12-03 00:00:00,04:27:00,2023-12-07 00:00:00,18:00:00,Pacific Gas and Electric,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Theft,0,0
December,2023-12-04 00:00:00,00:00:00,- Unknown,- Unknown,Tucson Electric Power,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Theft,0,0
December,2023-12-04 00:00:00,10:23:00,2023-12-04 00:00:00,13:46:00,Seminole Electric Cooperative Inc,SERC,Cyber Security Incident that was an attempt to compromise a High or Medium Impact Bulk Electric System Cyber System or their associated Electronic Access Control or Monitoring Systems,- Cyber event (information technology),0,0
December,2023-12-05 00:00:00,23:11:00,2023-12-06 00:00:00,00:12:00,GenOn Energy – New Castle Power LLC,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility",- Vandalism - Theft,0,0
December,2023-12-07 00:00:00,09:52:00,2023-12-07 00:00:00,09:53:00,Orsted Americas,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Suspicious activity,0,0
December,2023-12-07 00:00:00,10:29:00,2023-12-07 00:00:00,13:05:00,New York State Electric & Gas,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,- Other,0,0
December,2023-12-09 00:00:00,11:08:00,2023-12-09 00:00:00,11:12:00,"WEC Energy Group (WEPCO, WPSC, UMERC, WEP-MIUP)",MRO/RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,0,0
December,2023-12-11 00:00:00,00:00:00,2023-12-11 00:00:00,12:00:00,Apex Generating Station,WECC,"Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center.",- Vandalism - Theft - Suspicious activity - Other,0,0
December,2023-12-11 00:00:00,14:04:00,2023-12-12 00:00:00,14:35:00,Bonneville Power Administration,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,0,0
December,2023-12-11 00:00:00,14:04:00,2023-12-12 00:00:00,14:35:00,Bonneville Power Administration,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,0,0
December,2023-12-12 00:00:00,12:20:00,2023-12-12 00:00:00,12:21:00,Austin Energy,Texas RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Other,0,0
December,2023-12-12 00:00:00,09:30:00,2023-12-13 00:00:00,05:02:00,Oncor Electric Delivery Company LLC,Texas RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,0,0
December,2023-12-12 00:00:00,12:20:00,2023-12-12 00:00:00,1/0/1900,Austin Energy,Texas RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Other,0,0
December,2023-12-14 00:00:00,10:45:00,2023-12-14 00:00:00,11:06:00,Western Area Power Administration - Upper Great Plains Region - (NCR01036),WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Unknown,20,1
December,2023-12-14 00:00:00,23:54:00,- Unknown,- Unknown,"Consolidated Edison of New York, Inc.",MPCC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Failure at high voltage substation or switchyard,0,0
December,2023-12-15 00:00:00,12:46:00,2023-12-15 00:00:00,16:00:00,Consumers Energy Co,RF,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,- Physical attack - Vandalism - Suspicious activity,Unknown,Unknown
December,2023-12-15 00:00:00,12:46:00,2023-12-15 00:00:00,16:00:00,Consumers Energy Co,RF,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,- Physical attack - Vandalism - Suspicious activity,Unknown,Unknown
December,2023-12-15 00:00:00,13:53:00,2023-12-15 00:00:00,14:17:00,LUMA Energy,,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy,- Generator loss or failure,120,126197
December,2023-12-16 00:00:00,02:05:00,2023-12-16 00:00:00,02:29:00,LUMA Energy,,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident,- Generator loss or failure,Unknown,Unknown
December,2023-12-16 00:00:00,02:05:00,2023-12-16 00:00:00,02:29:00,LUMA Energy,,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident,- Generator loss or failure,220,230330
December,2023-12-17 00:00:00,10:46:00,2023-12-17 00:00:00,10:57:00,LUMA Energy,,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy,- Generator loss or failure,126,Unknown
December,2023-12-17 00:00:00,10:46:00,2023-12-17 00:00:00,10:57:00,LUMA Energy,,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy,- Generator loss or failure,80,127585
December,2023-12-18 00:00:00,13:11:00,2023-12-18 00:00:00,13:23:00,LUMA Energy,,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy,- Generator loss or failure,115,170316
December,2023-12-18 00:00:00,05:45:00,- Unknown,- Unknown,ISO New England,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",- Weather or natural disaster,Unknown,730000
December,2023-12-18 00:00:00,10:55:00,2023-12-18 00:00:00,11:41:00,First Energy Solutions Corp.,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Other,0,0
December,2023-12-19 00:00:00,00:41:00,2023-12-19 00:00:00,00:47:00,LUMA Energy,,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy,- Generator loss or failure,77,50204
December,2023-12-22 00:00:00,13:55:00,2023-12-22 00:00:00,14:45:00,NV Energy,WECC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,- Unknown,0,0
December,2023-12-23 00:00:00,00:43:00,2023-12-23 00:00:00,00:48:00,LUMA Energy,,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy,- Generator loss or failure,65,37850
December,2023-12-24 00:00:00,02:07:00,2023-12-24 00:00:00,13:39:00,Seminole Electric Cooperative Inc,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,0,0
December,2023-12-25 00:00:00,19:56:00,2023-12-25 00:00:00,20:01:00,LUMA Energy,,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy,- Generator loss or failure,105,36100
December,2023-12-25 00:00:00,08:35:00,2023-12-25 00:00:00,15:00:00,"Consolidated Edison of New York, Inc.",NPCC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more,- Other,0,0
December,2023-12-27 00:00:00,14:44:00,2023-12-28 00:00:00,04:14:00,Otter Tail Power Co,MRO,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,- Weather or natural disaster,14,8000
December,2023-12-27 00:00:00,11:11:00,2023-12-27 00:00:00,11:12:00,Pacificorp,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,- Suspicious activity - Transmission equipment failure,0,0
December,2023-12-30 00:00:00,21:00:00,2023-12-30 00:00:00,22:15:00,American Electric Power (Regulated Generation),RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,Unknown,Unknown
December,2023-12-30 00:00:00,05:00:00,2023-12-30 00:00:00,06:48:00,Lower Colorado River Authority,Texas RE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",- Suspicious activity,0,0
